Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,199/416,.478,87/106,.821,60,545,30,164,107,33,19,57,1.88,37,20
YY,260/531,.490,132/162,.815,53,705,76,288,150,33,33,81,1.85,44,20
GUCCI GUCCI,158/309,.511,67/71,.944,40,423,25,108,86,25,15,42,2.05,33,20
Reaper,256/535,.479,85/108,.787,63,660,52,243,153,45,29,74,2.07,44,20
Jinwei's Swag Team,172/362,.475,57/72,.792,40,441,64,212,139,40,20,43,3.23,42,20
sean's Team,254/479,.530,88/114,.772,61,657,53,198,149,45,22,71,2.10,39,20
Hali Hali,218/442,.493,73/92,.793,47,556,35,172,132,35,24,47,2.81,38,20
茶,174/385,.452,74/90,.822,64,486,34,162,122,32,13,62,1.97,40,20
max,133/290,.459,46/60,.767,33,345,50,200,100,41,12,42,2.38,36,20
江郎才尽 理屈词穷 黔驴技穷,166/328,.506,76/91,.835,55,463,23,128,111,23,20,55,2.02,40,20
立超's Notable Team,109/244,.447,27/45,.600,31,276,40,152,83,18,12,31,2.68,33,20
志在参与,158/365,.433,75/90,.833,48,439,30,149,97,24,21,68,1.43,36,20
waterbro is godlike's Rad Team,195/398,.490,71/81,.877,66,527,42,205,112,29,19,48,2.33,39,20
想夺冠的联系我 Cash Only,249/524,.475,96/113,.850,96,690,34,209,152,31,25,64,2.38,40,20
SINCE’02,219/414,.529,96/123,.780,43,577,71,256,141,24,30,77,1.83,43,20
歪炮 mvp Team,192/382,.503,57/81,.704,68,509,39,186,71,31,33,40,1.78,36,20
