Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,209/456,.458,109/129,.845,55,582,53,219,106,35,46,65,1.63,39,2
立超's Notable Team,170/360,.472,70/93,.753,45,455,41,165,141,39,15,52,2.71,37,2
GUCCI GUCCI,163/355,.459,88/106,.830,57,471,35,154,79,23,6,50,1.58,33,2
SINCE’02,192/400,.480,97/133,.729,37,518,60,235,131,33,30,82,1.60,41,2
Jinwei's Swag Team,195/385,.506,75/90,.833,45,510,52,216,102,21,24,51,2.00,37,2
Hali Hali,222/460,.483,73/98,.745,67,584,40,200,139,29,24,64,2.17,40,2
max,187/372,.503,82/109,.752,37,493,73,244,133,29,38,73,1.82,39,2
sean's Team,198/423,.468,99/139,.712,48,543,64,253,122,39,27,79,1.54,39,2
茶,181/382,.474,46/60,.767,49,457,63,236,120,40,28,54,2.22,41,2
Reaper,252/505,.499,92/116,.793,75,671,56,229,135,36,31,77,1.75,44,2
waterbro is godlike's Rad Team,195/380,.513,75/104,.721,55,520,52,212,118,35,14,52,2.27,39,2
YY,209/490,.427,67/86,.779,46,531,41,184,161,36,18,100,1.61,43,2
志在参与,248/529,.469,94/120,.783,86,676,51,180,121,39,22,74,1.64,39,2
想夺冠的联系我 Cash Only,164/325,.505,85/96,.885,65,478,22,144,75,21,22,60,1.25,37,2
歪炮 mvp Team,255/529,.482,126/155,.813,60,696,36,184,171,36,22,83,2.06,33,2
江郎才尽 理屈词穷 黔驴技穷,241/485,.497,117/157,.745,58,657,72,236,119,40,32,87,1.37,44,2
