Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,135/294,.459,69/89,.775,33,372,29,109,71,30,22,22,3.23,24,7
Hali Hali,155/291,.533,50/58,.862,32,392,28,129,100,17,16,37,2.70,22,7
GUCCI GUCCI,126/256,.492,69/77,.896,32,353,33,116,49,13,12,50,.98,21,7
YY,134/283,.473,51/65,.785,32,351,27,104,95,18,12,34,2.79,23,7
Jinwei's Swag Team,106/248,.427,57/63,.905,31,300,50,139,70,19,12,25,2.80,23,7
立超's Notable Team,109/234,.466,37/67,.552,27,282,33,142,71,22,14,31,2.29,23,7
max,86/186,.462,35/45,.778,22,229,49,156,82,16,22,39,2.10,25,7
志在参与,145/288,.503,61/67,.910,57,408,15,109,69,12,12,36,1.92,19,7
茶,116/229,.507,34/40,.850,36,302,22,112,80,26,5,34,2.35,23,7
想夺冠的联系我 Cash Only,120/265,.453,66/80,.825,45,351,26,131,79,23,22,43,1.84,24,7
sean's Team,119/242,.492,59/75,.787,23,320,36,141,101,26,18,33,3.06,24,7
Reaper,97/210,.462,29/41,.707,32,255,21,79,46,14,8,29,1.59,24,7
waterbro is godlike's Rad Team,133/310,.429,59/66,.894,41,366,44,127,65,10,15,39,1.67,22,7
歪炮 mvp Team,80/200,.400,40/49,.816,24,224,25,92,59,9,15,38,1.55,21,7
SINCE’02,128/280,.457,71/89,.798,29,356,34,139,84,14,19,40,2.10,21,7
江郎才尽 理屈词穷 黔驴技穷,144/288,.500,66/89,.742,26,380,29,116,59,18,17,32,1.84,21,7
